payment_history_length,on_time_payment_percentage,average_invoice_size,wallet_age,transaction_count,default
44,58.61599356008149,4891.549080460343,660,65,1
57,59.61445094043354,5197.254230225096,956,438,1
34,52.043430813323944,44815.352858541795,319,455,1
20,58.44675315360823,10401.498911218403,879,322,1
48,63.92951695159793,16845.20654366052,789,318,1
13,58.85052421383734,12106.163709122413,383,165,1
26,54.43512668785278,18394.818985764927,668,335,1
44,56.03179355503004,4401.768294558575,104,20,1
24,73.03893840163629,26433.929754505247,902,342,0
28,60.31668592028963,4313.015616018531,745,98,1
16,68.21349305240378,40217.46888329572,590,308,1
16,75.17086354274284,12451.892013611217,620,142,1
29,84.51974143146826,27460.58381562102,470,342,0
58,51.965606992054944,44123.87529051145,270,42,1
41,89.97051994545214,32892.99108331252,890,131,0
45,81.39501947454539,27114.93154101543,183,279,0
29,54.08795159744359,16892.353902653405,815,168,1
8,93.67893120533887,17317.093739851698,125,447,0
27,96.04362002659066,33804.860804711316,755,323,0
58,53.05389799274319,49712.828699837206,323,81,1
7,63.843882407360184,33430.12030261955,238,178,1
29,90.31006398965306,28331.38745113122,372,391,0
49,87.41298451918291,36801.875001723056,117,462,0
35,59.226050967818864,23795.07500190219,847,362,1
43,60.467466166835514,3946.9747874384757,805,325,1
7,68.5236051395691,28552.54397801758,966,380,1
26,74.22614925955106,47923.63894076363,419,95,1
38,80.9127385765148,9589.844175525322,354,242,0
17,68.44568197848862,34810.23965021262,969,268,1
27,73.1267358066574,10845.750744293768,918,183,1
49,87.37354690668784,27255.556539180983,861,498,0
30,51.834160144529896,5737.146032689261,186,494,1
54,62.62184721720104,23068.175876651072,697,213,1
32,85.66747929422762,38052.00311586706,680,77,1
47,94.76034188435997,18031.004687710123,662,394,0
33,75.58387210578331,33580.67449987368,606,111,1
21,76.60567426326578,39977.04807869673,648,349,1
20,55.358600566988805,46431.71315449318,688,299,1
52,72.37061834117273,12497.462010917223,166,373,1
56,76.63086332275115,20566.4798746561,952,448,0
49,62.12352518173648,8468.384653190455,703,288,1
60,63.46216154746905,49631.69160576039,457,357,1
57,68.86420815523113,46423.04742829047,481,186,1
8,51.003559888886315,27457.89938374742,641,41,1
42,66.10395827915892,42259.63142444464,879,141,1
56,60.572400349827234,26526.940886330067,940,342,0
12,66.37486760889573,31555.698712135225,848,60,1
26,55.98810659096256,5367.097173684814,170,191,1
14,94.52636403699475,38008.250604343586,112,345,0
44,79.67962267770244,7257.960698126506,206,262,1
